ID,Day,Site,Genus,Species,Project,Experiment,Plot_ID,Individual_nr,Leaf_nr,Plant_Height_cm,Plant_Length_cm,Bulk_nr_leaves,Length_cm,Wet_Mass_g,Leaf_Thickness_1_mm,Leaf_Thickness_2_mm,Leaf_Thickness_3_mm,Remark,LeafArea_cm2.x,LeafArea_cm2.y
AHF0820,12,QUE,Poa,spicata,T,BB,1,5,NA,5.4,NA,3,NA,0.022,0.268,0.294,0.256,double leaf area,1.1360000000000001,1.1360000000000001
AIK3112,12,QUE,Rhynchospora,macrochaeta,T,BB,4,1,NA,13.2,16.9,NA,NA,0.141,0.253,0.235,0.196,NA,4.43,4.43
AZC5871,12,QUE,Poa,spicata,T,BB,1,3,NA,6.6,NA,3,NA,0.013,0.195,0.205,0.189,NA,0.866,0.866
AZB8052,12,QUE,Poa,spicata,T,BB,1,2,NA,11.3,NA,3,NA,0.021,0.198,0.159,0.141,NA,1.066,1.066
AJX5756,12,QUE,Gamochaeta,coarctata,T,BB,1,1,NA,6.5,NA,2,NA,0.041,0.15,0.223,0.234,NA,1.835,1.835
BXW5713,12,QUE,Festuca,sharp,T,BB,2,2,NA,19,NA,NA,NA,0.101,0.426,0.47,0.446,NA,1.831,1.831
BXV7981,12,QUE,Festuca,sharp,T,BB,2,1,NA,18,NA,NA,NA,0.089,0.665,0.677,0.722,NA,1.6969999999999998,1.6969999999999998
BXA4854,12,QUE,Festuca,sharp,T,BB,2,3,NA,18,NA,NA,NA,0.086,0.587,0.541,0.632,NA,1.477,1.477
AFN3047,12,QUE,Agrostis,trichodes,T,BB,2,2,NA,5,NA,9,NA,0.029,0.157,0.134,0.127,NA,2.041,2.041
BVC5384,12,QUE,Calamagrostis,7,T,BB,4,1,NA,7,NA,4,NA,0.043,0.29,0.257,0.296,NA,1.1139999999999999,1.1139999999999999
AZE5327,12,QUE,Antennaria,linearifolia,T,BB,2,1,NA,1,NA,3,NA,0.052,0.186,0.226,0.191,NA,1.293,1.293
BDL4865,12,QUE,Baccharis,caespitosa,T,BB,1,1,NA,1.3,NA,10,NA,0.019,0.119,0.3,0.248,NA,0.722,0.722
BBU6966,12,QUE,Baccharis,caespitosa,T,BB,2,2,NA,0.7,NA,10,NA,0.017,0.261,0.223,0.263,NA,0.67,0.67
BJQ7085,12,QUE,Aphanactis,villosa,T,BB,3,1,NA,1.1,NA,6,NA,0.15,0.189,0.214,0.165,NA,3.8569999999999998,3.8569999999999998
BKK5041,12,QUE,Oxalis,oreocharis,T,BB,1,3,NA,4,3,3,NA,0.062,0.244,0.266,0.236,NA,1.578,1.578
AIS5021,12,QUE,Oxalis,oreocharis,T,BB,1,2,NA,5,2,3,NA,0.046,0.204,0.204,0.194,NA,1.203,1.203
BUI3314,12,QUE,Luzula,racemosa,T,BB,1,2,NA,7.8,NA,3,NA,0.07,0.239,0.264,0.258,NA,0.855,0.855
BVH0912,12,QUE,Agrostis,foliata,T,BB,1,2,NA,10,NA,2,NA,0.023,0.184,0.209,0.163,NA,1.913,1.913
BVD4631,12,QUE,Agrostis,foliata,T,BB,1,3,NA,12,NA,NA,NA,0.018,0.153,0.164,0.151,NA,1.615,1.615
