ID,Day,Site,Genus,Species,Project,Experiment,Plot_ID,Individual_nr,Leaf_nr,Plant_Height_cm,Plant_Length_cm,Bulk_nr_leaves,Length_cm,Wet_Mass_g,Leaf_Thickness_1_mm,Leaf_Thickness_2_mm,Leaf_Thickness_3_mm,Remark,LeafArea_cm2,nLeafScan
AZB8052,12,QUE,Poa,spicigera,T,BB,1,2,NA,11.3,NA,3,NA,21,198,159,141,NA,1.066,3
AJX5756,12,QUE,Gamochaeta,coarctata,T,BB,1,1,NA,6.5,NA,2,NA,41,0.15,223,234,NA,1.835,2
BXW5713,12,QUE,Festuca,sp4,T,BB,2,2,NA,19,NA,4,NA,101,426,0.47,446,NA,1.831,4
BXV7981,12,QUE,Festuca,sp4,T,BB,2,1,NA,18,NA,5,NA,89,665,677,722,NA,16.969.999.999.999.900,5
BXA4854,12,QUE,Festuca,sp4,T,BB,2,3,NA,18,NA,4,NA,86,587,541,632,NA,1.477,4
AFN3047,12,QUE,Agrostis,trichodes,T,BB,2,2,NA,5,NA,9,NA,29,157,134,127,NA,2.041,11
BVC5384,12,QUE,Anatherostipa,hans-meyeri,T,BB,4,1,NA,7,NA,4,NA,43,0.29,257,296,NA,11.139.999.999.999.900,4
AZE5327,12,QUE,Antennaria,linearifolia,T,BB,2,1,NA,1,NA,3,NA,52,186,226,191,NA,1.293,7
BDL4865,12,QUE,Baccharis,caespitosa,T,BB,1,1,NA,1.3,NA,11,NA,19,119,0.3,248,NA,722,11
BBU6966,12,QUE,Baccharis,caespitosa,T,BB,2,2,NA,0.7,NA,14,NA,17,261,223,263,NA,0.67,14
BJQ7085,12,QUE,Aphanactis,villosa,T,BB,3,1,NA,1.1,NA,6,NA,0.15,189,214,165,NA,38.569.999.999.999.900,7
