country,course,project,id,year,month,date,gradient,site,treatment,plot_id,functional_group,family,taxon,genus,species,individual_nr,plant_height_cm,nr_leaves,number_leaves_scan,wet_mass_g,dry_mass_g,leaf_area_cm2,sla_cm2_g,ldmc,leaf_thickness_mm,area_flag,dry_flag,wet_flag
PE,PFTC5,T,AVI3231,2020,March,2020-03-12,1,ACJ,C,3,Forb,Rosaceae,Lachemilla orbiculata,Lachemilla,orbiculata,3,3.3,1,1,0.133,0.035,3.494,99.82857142857142,0.2631578947368421,0.295,NA,NA,NA
PE,PFTC5,T,AAV4547,2020,March,2020-03-12,1,ACJ,C,2,Forb,Asteraceae,Hieracium cf. mandonii,Hieracium,cf. mandonii,1,8.3,1,1,0.187,0.0363,5.438,149.80716253443526,0.19411764705882353,0.352,NA,NA,NA
PE,PFTC5,T,AAO3522,2020,March,2020-03-12,1,ACJ,C,2,Forb,Gentianaceae,Halenia umbellata,Halenia,umbellata,1,22.5,1,1,0.056,0.0147,1.937,131.7687074829932,0.2625,0.30033333333333334,NA,NA,NA
PE,PFTC5,T,AAP4494,2020,March,2020-03-12,1,ACJ,C,2,Forb,Gentianaceae,Halenia umbellata,Halenia,umbellata,1,22.5,1,1,0.035,0.009,1.079,119.8888888888889,0.2571428571428571,0.279,NA,NA,NA
PE,PFTC5,T,AET0501,2020,March,2020-03-12,1,ACJ,C,5,Forb,Rosaceae,Lachemilla orbiculata,Lachemilla,orbiculata,3,4,1,1,0.064,0.0193,1.934,100.20725388601035,0.3015625,0.24200000000000002,NA,NA,NA
PE,PFTC5,T,AEU2525,2020,March,2020-03-12,1,ACJ,C,5,Forb,Rosaceae,Lachemilla orbiculata,Lachemilla,orbiculata,3,4,1,5,0.049,0.015,1.804,120.26666666666668,0.3061224489795918,0.27666666666666667,NA,NA,NA
PE,PFTC5,T,AAN5188,2020,March,2020-03-12,1,ACJ,C,2,Forb,Gentianaceae,Halenia umbellata,Halenia,umbellata,2,12.6,1,1,0.043,0.0124,1.727,139.2741935483871,0.28837209302325584,0.2693333333333333,NA,NA,NA
PE,PFTC5,T,AAZ5543,2020,March,2020-03-12,1,ACJ,C,2,Forb,Gentianaceae,Halenia umbellata,Halenia,umbellata,2,12.6,1,1,0.066,0.0207,2.516,121.54589371980677,0.3136363636363636,0.381,NA,NA,NA
PE,PFTC5,T,ABB6047,2020,March,2020-03-12,1,ACJ,C,2,Forb,Gentianaceae,Halenia umbellata,Halenia,umbellata,2,12.6,1,1,0.046,0.0133,1.822,136.99248120300754,0.2891304347826087,0.4316666666666667,NA,NA,NA
PE,PFTC5,T,AEB9826,2020,March,2020-03-12,1,ACJ,C,2,Forb,Gentianaceae,Halenia umbellata,Halenia,umbellata,1,22.5,1,1,0.052,0.0135,1.799,133.25925925925927,0.25961538461538464,0.24133333333333332,NA,NA,NA
PE,PFTC5,T,AUA6916,2020,March,2020-03-12,1,ACJ,C,5,Forb,Rosaceae,Lachemilla orbiculata,Lachemilla,orbiculata,1,7,1,6,0.166,0.0555,4.414,79.53153153153153,0.33433734939759036,0.22766666666666666,NA,NA,NA
PE,PFTC5,T,AVF0584,2020,March,2020-03-12,1,ACJ,C,4,Fern,Dryopteridaceae,Elaphoglossum huacsaro,Elaphoglossum,huacsaro,1,20,1,1,0.584,0.2513,10.799,42.9725427775567,0.43030821917808226,0.436,NA,NA,NA
PE,PFTC5,T,ABA6252,2020,March,2020-03-12,1,ACJ,C,2,Forb,Gentianaceae,Halenia umbellata,Halenia,umbellata,2,12.6,1,1,0.063,0.0187,2.269,121.33689839572192,0.2968253968253968,0.22466666666666665,NA,NA,NA
PE,PFTC5,T,ACA8496,2020,March,2020-03-12,1,ACJ,C,2,Forb,Gentianaceae,Halenia umbellata,Halenia,umbellata,2,12.6,1,1,0.071,0.0212,2.642,124.62264150943396,0.2985915492957747,0.20266666666666666,NA,NA,NA
PE,PFTC5,T,ADF3723,2020,March,2020-03-12,1,ACJ,C,1,Forb,Gentianaceae,Halenia umbellata,Halenia,umbellata,1,6.5,1,1,0.049,0.0127,1.455,114.56692913385828,0.25918367346938775,0.24833333333333332,NA,NA,NA
PE,PFTC5,T,ATW0117,2020,March,2020-03-12,1,ACJ,C,4,Forb,Gentianaceae,Halenia umbellata,Halenia,umbellata,3,18,1,1,0.053,0.0117,1.854,158.46153846153845,0.22075471698113208,0.18566666666666667,NA,NA,NA
PE,PFTC5,T,ATN8453,2020,March,2020-03-12,1,ACJ,C,2,Forb,Rosaceae,Lachemilla orbiculata,Lachemilla,orbiculata,3,3,1,1,0.063,0.022,1.834,83.36363636363637,0.3492063492063492,0.20366666666666666,NA,NA,NA
PE,PFTC5,T,ATH7116,2020,March,2020-03-12,1,ACJ,C,3,Gramminoid,Poaceae,Paspalum bonplandianum,Paspalum,bonplandianum,3,14,1,1,0.042,0.0176,3.195,181.53409090909088,0.41904761904761906,0.108,NA,NA,NA
PE,PFTC5,T,ADO6855,2020,March,2020-03-12,1,ACJ,C,5,Gramminoid,Poaceae,Paspalum bonplandianum,Paspalum,bonplandianum,1,18,1,1,0.059,0.0217,5.837,268.98617511520735,0.36779661016949156,0.08166666666666667,NA,NA,NA
PE,PFTC5,T,ABZ5836,2020,March,2020-03-12,1,ACJ,C,3,Gramminoid,Poaceae,Paspalum bonplandianum,Paspalum,bonplandianum,1,11.7,1,NA,0.082,0.0222,NA,NA,0.2707317073170732,0.096,NA,NA,NA
PE,PFTC5,T,ACG5039,2020,March,2020-03-12,1,ACJ,C,4,Gramminoid,Poaceae,Paspalum bonplandianum,Paspalum,bonplandianum,3,17,1,1,0.098,0.0278,7.329,263.63309352517985,0.28367346938775506,0.1,NA,NA,NA
PE,PFTC5,T,BHK5486,2020,March,2020-03-12,1,ACJ,C,3,Woody,Ericaceae,Gaultheria glomerata,Gaultheria,glomerata,3,17.8,1,1,0.314,0.1522,6.91,45.400788436268066,0.48471337579617835,0.575,NA,NA,NA
PE,PFTC5,T,BHS1020,2020,March,2020-03-12,1,ACJ,C,3,Woody,Ericaceae,Gaultheria glomerata,Gaultheria,glomerata,3,17.8,1,1,0.326,0.1589,7.594,47.79106356198867,0.4874233128834356,0.524,NA,NA,NA
PE,PFTC5,T,BEI1150,2020,March,2020-03-12,1,ACJ,C,5,Woody,Ericaceae,Gaultheria glomerata,Gaultheria,glomerata,2,15,1,1,0.27,0.1106,6.899,62.37793851717902,0.4096296296296296,0.507,NA,NA,NA
PE,PFTC5,T,BFJ2981,2020,March,2020-03-12,1,ACJ,C,5,Woody,Ericaceae,Gaultheria glomerata,Gaultheria,glomerata,2,15,1,1,0.239,0.103,5.49,53.30097087378641,0.4309623430962343,0.598,NA,NA,NA
PE,PFTC5,T,AHY2796,2020,March,2020-03-12,1,ACJ,C,1,Forb,Rosaceae,Lachemilla orbiculata,Lachemilla,orbiculata,1,9,1,1,0.086,0.0284,3.095,108.97887323943662,0.33023255813953495,0.24133333333333332,NA,NA,NA
PE,PFTC5,T,BGL1606,2020,March,2020-03-12,1,ACJ,C,1,Woody,Ericaceae,Gaultheria glomerata,Gaultheria,glomerata,1,14.4,1,1,0.231,0.1109,4.982,44.92335437330929,0.48008658008658006,0.5386666666666667,NA,NA,NA
PE,PFTC5,T,BGP2526,2020,March,2020-03-12,1,ACJ,C,1,Woody,Ericaceae,Gaultheria glomerata,Gaultheria,glomerata,1,14.4,1,1,0.193,0.092,4.669,50.75,0.47668393782383417,0.475,NA,NA,NA
PE,PFTC5,T,BFN1445,2020,March,2020-03-12,1,ACJ,C,1,Woody,Ericaceae,Gaultheria glomerata,Gaultheria,glomerata,1,14.4,1,1,0.252,0.1251,5.829,46.594724220623505,0.4964285714285714,0.5243333333333333,NA,NA,NA
PE,PFTC5,T,BFR1435,2020,March,2020-03-12,1,ACJ,C,1,Woody,Ericaceae,Gaultheria glomerata,Gaultheria,glomerata,1,14.4,1,1,0.228,0.119,4.968,41.747899159663866,0.5219298245614035,0.552,NA,NA,NA
PE,PFTC5,T,BJD7505,2020,March,2020-03-12,1,ACJ,C,5,Woody,Ericaceae,Gaultheria glomerata,Gaultheria,glomerata,2,15.6,1,1,0.285,0.1318,6.291,47.731411229135055,0.46245614035087723,0.5243333333333333,NA,NA,NA
PE,PFTC5,T,AHW9145,2020,March,2020-03-12,1,ACJ,C,1,Forb,Rosaceae,Lachemilla orbiculata,Lachemilla,orbiculata,1,9,1,3,0.09,0.0293,2.7479999999999998,93.78839590443685,0.32555555555555554,0.211,NA,NA,NA
PE,PFTC5,T,AHX3240,2020,March,2020-03-12,1,ACJ,C,1,Forb,Rosaceae,Lachemilla orbiculata,Lachemilla,orbiculata,1,9,1,2,0.066,0.021,1.519,72.33333333333333,0.3181818181818182,0.21666666666666667,NA,NA,NA
PE,PFTC5,T,BHG7419,2020,March,2020-03-12,1,ACJ,C,5,Woody,Ericaceae,Gaultheria glomerata,Gaultheria,glomerata,1,12,1,1,0.336,0.15,6.834,45.56,0.4464285714285714,0.5753333333333334,NA,NA,NA
PE,PFTC5,T,BHT4930,2020,March,2020-03-12,1,ACJ,C,5,Woody,Ericaceae,Gaultheria glomerata,Gaultheria,glomerata,1,12,1,1,0.273,0.1229,5.895,47.96582587469487,0.45018315018315014,0.565,NA,NA,NA
PE,PFTC5,T,AID0930,2020,March,2020-03-12,1,ACJ,C,1,Forb,Rosaceae,Lachemilla orbiculata,Lachemilla,orbiculata,1,9,1,1,0.061,0.0184,2.335,126.90217391304348,0.3016393442622951,0.236,NA,NA,NA
